,hotel_id,neighbourhood,distance,stars,rating,ratingta_count,accommodation_type,price,city
0,21894,17. Hernals,2.7,4.0,4.4,216.0,Apartment,81,Vienna
1,21897,17. Hernals,1.7,4.0,3.9,708.0,Hotel,81,Vienna
2,21901,Alsergrund,1.4,4.0,3.7,629.0,Hotel,85,Vienna
3,21902,Alsergrund,1.7,3.0,4.0,52.0,Hotel,83,Vienna
4,21903,Alsergrund,1.2,4.0,3.9,219.0,Hotel,82,Vienna
5,21904,Alsergrund,0.9,5.0,4.8,27.0,Apartment,229,Vienna
6,21906,Alsergrund,0.9,4.0,3.9,251.0,Hotel,103,Vienna
7,21907,Alsergrund,1.0,4.0,4.6,617.0,Hotel,150,Vienna
8,21908,Alsergrund,0.7,2.0,3.5,146.0,Hotel,80,Vienna
9,21910,Alsergrund,1.5,3.0,,,Apartment,153,Vienna
10,21912,Alsergrund,1.1,4.0,4.1,359.0,Hotel,60,Vienna
11,21913,Alsergrund,0.8,4.0,4.0,829.0,Hotel,128,Vienna
12,21914,Alsergrund,1.0,4.0,4.5,55.0,Apartment,100,Vienna
13,21915,Alsergrund,1.2,2.0,3.7,,Apartment,143,Vienna
14,21916,Alsergrund,0.7,2.5,,74.0,Hotel,106,Vienna
15,21917,Alsergrund,1.7,4.0,4.1,62.0,Hotel,85,Vienna
16,21918,Alsergrund,0.9,3.0,3.7,97.0,Hotel,77,Vienna
17,21919,Alsergrund,0.8,3.0,3.9,120.0,Hotel,78,Vienna
18,21920,Alsergrund,0.9,3.0,4.0,161.0,Hotel,78,Vienna
19,21921,Donaustadt,3.4,3.5,,2.0,Apartment,260,Vienna
20,21922,Donaustadt,3.4,3.0,4.8,72.0,Apartment,158,Vienna
21,21924,Donaustadt,4.2,3.0,3.9,158.0,Hotel,77,Vienna
22,21925,Donaustadt,3.9,3.0,2.7,91.0,Hotel,77,Vienna
23,21926,Donaustadt,3.6,4.0,4.3,228.0,Hotel,95,Vienna
24,21927,Donaustadt,3.8,3.0,3.0,,Apartment,156,Vienna
25,21928,Donaustadt,3.5,3.0,3.5,205.0,Bed and breakfast,145,Vienna
26,21930,Donaustadt,2.9,4.0,4.1,1085.0,Hotel,208,Vienna
27,21933,Donaustadt,3.4,3.0,3.7,423.0,Hotel,87,Vienna
28,21934,Favoriten,2.3,2.0,3.5,,Apartment,131,Vienna
29,21935,Favoriten,2.0,3.0,3.5,522.0,Hotel,54,Vienna
30,21936,Favoriten,2.4,2.0,3.0,17.0,Apartment,139,Vienna
31,21937,Favoriten,2.8,2.0,3.2,,Apartment,184,Vienna
32,21938,Favoriten,2.9,3.0,1.0,,Apartment,127,Vienna
33,21939,Favoriten,2.5,3.0,,,Apartment,95,Vienna
34,21940,Favoriten,1.7,3.5,4.4,630.0,Hotel,99,Vienna
35,21941,Favoriten,1.7,3.5,4.4,573.0,Hotel,75,Vienna
36,21943,Favoriten,2.1,3.0,4.4,269.0,Hotel,76,Vienna
37,21945,Favoriten,2.5,2.0,3.0,,Apartment,130,Vienna
38,21946,Favoriten,1.9,4.0,4.5,741.0,Hotel,91,Vienna
39,21947,Favoriten,2.4,2.0,3.0,,Apartment,135,Vienna
40,21948,Favoriten,2.0,2.0,2.0,183.0,Hotel,56,Vienna
