"STATION","NAME","DATE","CLDD","DX32","DX70","DX90","HTDD"
"USW00023183","PHOENIX AIRPORT, AZ US","1990-09","676","0","30","28","0"
"USW00023183","PHOENIX AIRPORT, AZ US","1990-10","425","0","31","24","0"
"USW00023183","PHOENIX AIRPORT, AZ US","1990-11","98","0","26","0","70"
"USW00023183","PHOENIX AIRPORT, AZ US","1990-12","0","0","14","0","353"
"USW00023183","PHOENIX AIRPORT, AZ US","1991-01","0","0","6","0","283"
"USW00023183","PHOENIX AIRPORT, AZ US","1991-02","56","0","27","0","29"
"USW00023183","PHOENIX AIRPORT, AZ US","1991-03","20","0","16","0","166"
"USW00023183","PHOENIX AIRPORT, AZ US","1991-04","218","0","30","8","5"
"USW00023183","PHOENIX AIRPORT, AZ US","1991-05","456","0","31","23","0"
"USW00023183","PHOENIX AIRPORT, AZ US","1991-06","684","0","30","28","0"
"USW00023183","PHOENIX AIRPORT, AZ US","1991-07","932","0","31","31","0"
"USW00023183","PHOENIX AIRPORT, AZ US","1991-08","913","0","31","31","0"
"USW00023183","PHOENIX AIRPORT, AZ US","1991-09","705","0","30","30","0"
"USW00023183","PHOENIX AIRPORT, AZ US","1991-10","506","0","26","21","35"
"USW00023183","PHOENIX AIRPORT, AZ US","1991-11","69","0","22","1","113"
"USW00023183","PHOENIX AIRPORT, AZ US","1991-12","0","0","8","0","240"
"USW00023183","PHOENIX AIRPORT, AZ US","1992-01","0","0","10","0","270"
"USW00023183","PHOENIX AIRPORT, AZ US","1992-02","11","0","19","0","95"
"USW00023183","PHOENIX AIRPORT, AZ US","1992-03","50","0","25","0","60"
"USW00023183","PHOENIX AIRPORT, AZ US","1992-04","366","0","30","15","7"
"USW00023183","PHOENIX AIRPORT, AZ US","1992-05","562","0","31","27","0"
"USW00023183","PHOENIX AIRPORT, AZ US","1992-06","754","0","30","30","0"
"USW00023183","PHOENIX AIRPORT, AZ US","1992-07","861","0","31","29","0"
"USW00023183","PHOENIX AIRPORT, AZ US","1992-08","845","0","31","30","0"
"USW00023183","PHOENIX AIRPORT, AZ US","1992-09","765","0","30","30","0"
"USW00023183","PHOENIX AIRPORT, AZ US","1992-10","458","0","31","24","0"
"USW00023183","PHOENIX AIRPORT, AZ US","1992-11","26","0","21","0","132"
"USW00023183","PHOENIX AIRPORT, AZ US","1992-12","0","0","4","0","348"
"USW00023183","PHOENIX AIRPORT, AZ US","1993-01","0","0","11","0","211"
"USW00023183","PHOENIX AIRPORT, AZ US","1993-02","0","0","7","0","191"
"USW00023183","PHOENIX AIRPORT, AZ US","1993-03","83","0","27","0","64"
"USW00023183","PHOENIX AIRPORT, AZ US","1993-04","263","0","30","9","0"
"USW00023183","PHOENIX AIRPORT, AZ US","1993-05","579","0","31","28","0"
"USW00023183","PHOENIX AIRPORT, AZ US","1993-06","737","0","30","28","0"
"USW00023183","PHOENIX AIRPORT, AZ US","1993-07","863","0","31","31","0"
"USW00023183","PHOENIX AIRPORT, AZ US","1993-08","823","0","31","28","0"
"USW00023183","PHOENIX AIRPORT, AZ US","1993-09","688","0","30","29","0"
"USW00023183","PHOENIX AIRPORT, AZ US","1993-10","363","0","31","12","0"
"USW00023183","PHOENIX AIRPORT, AZ US","1993-11","20","0","22","0","130"
"USW00023183","PHOENIX AIRPORT, AZ US","1993-12","0","0","15","0","272"
"USW00023183","PHOENIX AIRPORT, AZ US","1994-01","0","0","16","0","256"
"USW00023183","PHOENIX AIRPORT, AZ US","1994-02","2","0","12","0","198"
"USW00023183","PHOENIX AIRPORT, AZ US","1994-03","56","0","26","0","58"
"USW00023183","PHOENIX AIRPORT, AZ US","1994-04","219","0","29","9","16"
"USW00023183","PHOENIX AIRPORT, AZ US","1994-05","413","0","31","16","0"
"USW00023183","PHOENIX AIRPORT, AZ US","1994-06","814","0","30","30","0"
"USW00023183","PHOENIX AIRPORT, AZ US","1994-07","895","0","31","31","0"
