MY,Q
Jan-01,2063
Feb-01,1790
Mar-01,1690
Apr-01,1404
May-01,1984
Jun-01,2572
Jul-01,3052
Aug-01,3116
Sep-01,2837
Oct-01,2220
Nov-01,1584
Dec-01,1888
Jan-02,2153
Feb-02,1811
Mar-02,1642
Apr-02,1521
May-02,1859
Jun-02,2562
Jul-02,3297
Aug-02,3287
Sep-02,2867
Oct-02,2097
Nov-02,1508
Dec-02,1809
Jan-03,2004
Feb-03,1595
Mar-03,1662
Apr-03,1457
May-03,1827
Jun-03,2743
Jul-03,3493
Aug-03,3574
Sep-03,3192
Oct-03,2474
Nov-03,1714
Dec-03,2007
Jan-04,2164
Feb-04,1939
Mar-04,1879
Apr-04,1730
May-04,2162
Jun-04,2850
Jul-04,3466
Aug-04,3599
Sep-04,3078
Oct-04,2183
Nov-04,1680
Dec-04,2190
Jan-05,2286
Feb-05,1814
Mar-05,1739
Apr-05,1684
May-05,2170
Jun-05,3136
Jul-05,4006
Aug-05,3830
Sep-05,3466
Oct-05,2487
Nov-05,1745
Dec-05,2181
Jan-06,2275
Feb-06,1895
Mar-06,1896
Apr-06,1827
May-06,2511
Jun-06,3557
Jul-06,4298
Aug-06,4093
Sep-06,3391
Oct-06,2422
Nov-06,1878
Dec-06,2325
Jan-07,2741
Feb-07,2150
Mar-07,1952
Apr-07,1858
May-07,2641
Jun-07,3436
Jul-07,4399
Aug-07,4277
Sep-07,4055
Oct-07,2574
Nov-07,1999
Dec-07,2352
Jan-08,2632
Feb-08,2306
Mar-08,1995
Apr-08,1854
May-08,2307
Jun-08,3291
Jul-08,4276
Aug-08,4264
Sep-08,3614
Oct-08,2603
Nov-08,1920
Dec-08,2174
Jan-09,2422
Feb-09,1936
Mar-09,1947
Apr-09,1779
May-09,2765
Jun-09,3106
Jul-09,4313
Aug-09,4340
Sep-09,3629
Oct-09,2441
Nov-09,1884
Dec-09,2285
Jan-10,2447
Feb-10,1981
Mar-10,1982
Apr-10,1821
May-10,2248
Jun-10,3356
Jul-10,4439
Aug-10,4123
Sep-10,3576
Oct-10,2442
Nov-10,1833
Dec-10,2201
Jan-11,2461
Feb-11,2144
Mar-11,1891
Apr-11,1964
May-11,2295
Jun-11,3300
Jul-11,4308
Aug-11,4480
Sep-11,3607
Oct-11,2392
Nov-11,1793
Dec-11,2445
Jan-12,2356
Feb-12,1906
Mar-12,1903
Apr-12,2017
May-12,2738
Jun-12,3726
Jul-12,4137
Aug-12,4304
Sep-12,3393
Oct-12,2399
Nov-12,1837
Dec-12,2207
Jan-13,2684
Feb-13,2068
Mar-13,1940
Apr-13,1966
May-13,2684
Jun-13,3812
Jul-13,4371
Aug-13,4076
Sep-13,3339
Oct-13,2063
Nov-13,1766
Dec-13,2334
Jan-14,2300
Feb-14,1804
Mar-14,1791
Apr-14,1931
May-14,2574
Jun-14,3705
Jul-14,4377
Aug-14,3913
Sep-14,3434
Oct-14,2431
Nov-14,1842
Dec-14,2242
Jan-15,2343
Feb-15,1703
Mar-15,1976
Apr-15,1961
May-15,2313
Jun-15,3750
Jul-15,4223
Aug-15,4412
Sep-15,3529
Oct-15,2556
Nov-15,1869
Dec-15,2533
Jan-16,2516
Feb-16,1954
Mar-16,1854
Apr-16,1961
May-16,2511
Jun-16,4026
Jul-16,4674
Aug-16,4210
Sep-16,3216
Oct-16,2596
Nov-16,1919
Dec-16,2253
Jan-17,2390
Feb-17,1850
Mar-17,2042
Apr-17,2121
May-17,2739
Jun-17,4119
Jul-17,4645
Aug-17,4303
Sep-17,3470
Oct-17,2557
Nov-17,1929
Dec-17,2198
Jan-18,2170
Feb-18,1897
Mar-18,1983
