date,year,month,ps,pn,us,un,emps,empn
2000-01-01,2000,01,101.03120933703501,100,5,5.4,14344.4,14132.8
2000-02-01,2000,02,102.04340637160601,100.61896,5,5.3,14390.4,14270
2000-03-01,2000,03,103.22469937710699,102.1278,5,5.3,14429.1,14421.3
2000-04-01,2000,04,104.159399030945,103.7041,5,4.7,14484.6,14450.8
2000-05-01,2000,05,104.924697889714,104.98908,5,4.7,14549.9,14590.2
2000-06-01,2000,06,105.693407176649,106.35687,5,5,14590.4,14696.8
2000-07-01,2000,07,106.32468735808001,107.23331,5,5.2,14625.7,14547.6
2000-08-01,2000,08,106.96663271476,108.18488,4.9,5,14659.1,14619.4
2000-09-01,2000,09,107.88678713658301,108.9445,4.8,4.6,14708.8,14742.5
2000-10-01,2000,10,108.80865678207898,109.55771000000001,4.8,4.5,14708.2,14748.5
2000-11-01,2000,11,109.983918716834,110.11861,4.8,4.7,14750.6,14861.1
2000-12-01,2000,12,110.71600522537202,110.12042,4.8,4.4,14796.8,14962.4
2001-01-01,2001,01,112.031476346893,110.8808,4.8,5.3,14832.3,14619.9
2001-02-01,2001,02,112.902899221792,111.31561,4.8,5.1,14824.9,14708.2
2001-03-01,2001,03,114.178497053697,112.97801000000001,4.9,5.3,14832,14826.3
2001-04-01,2001,04,114.636796285446,114.12191999999999,5,4.9,14798.5,14765.9
2001-05-01,2001,05,115.25738934549,115.31478999999999,5.1,4.6,14772.8,14815
2001-06-01,2001,06,115.73461161030701,116.46524,5.2,5.3,14761.5,14871.1
2001-07-01,2001,07,116.375632780828,117.3574,5.4,5.6,14697.5,14614.4
2001-08-01,2001,08,117.35851967288299,118.67334,5.6,5.7,14696.7,14655.6
2001-09-01,2001,09,118.34008998365101,119.50896999999999,5.9,5.5,14659.7,14674.4
2001-10-01,2001,10,119.31565997992399,120.15862,6.1,5.9,14629.4,14672.2
2001-11-01,2001,11,120.30320596092899,120.48478999999999,6.3,6.2,14584.5,14694.1
2001-12-01,2001,12,121.289619972322,120.64875,6.5,6.2,14566.1,14725.8
2002-01-01,2002,01,122.706506927316,121.45291,6.6,7.1,14569.9,14367.4
2002-02-01,2002,02,123.989520855322,122.25645,6.7,6.9,14571.1,14460.9
2002-03-01,2002,03,125.45607396529499,124.11952,6.7,7,14602.1,14595.4
2002-04-01,2002,04,126.85190220132,126.23433999999999,6.7,6.7,14618.7,14587.8
2002-05-01,2002,05,128.691985988944,128.73119,6.8,6.3,14630.7,14672.8
2002-06-01,2002,06,130.772305992572,131.58745,6.8,6.9,14630.1,14725.6
2002-07-01,2002,07,132.85871785131002,133.96556,6.8,7,14583.9,14498.3
2002-08-01,2002,08,135.085220146349,136.59175,6.7,6.8,14593.7,14550.8
2002-09-01,2002,09,137.236733463026,138.62004,6.8,6.4,14604.1,14613.5
2002-10-01,2002,10,139.72310236419,140.76478,6.8,6.5,14605.7,14654.7
2002-11-01,2002,11,141.824380565533,142.07137,6.8,6.8,14612.1,14725.8
2002-12-01,2002,12,143.982057054708,143.25814,6.9,6.8,14603,14756.9
2003-01-01,2003,01,145.75240077923098,144.27185,6.9,7.4,14588.2,14397.8
2003-02-01,2003,02,147.308755757164,145.29663,6.9,7.2,14575,14464.3
2003-03-01,2003,03,148.88173886583002,147.23021,6.9,7.2,14558.6,14548.9
2003-04-01,2003,04,150.48556352582702,149.64871000000002,7,6.8,14585.1,14554.3
2003-05-01,2003,05,152.28828871564698,152.26745,7,6.5,14577.1,14619.6
2003-06-01,2003,06,154.062883329333,154.9822,7,7.3,14587,14679.5
2003-07-01,2003,07,157.01614198768,158.3402,7,7.2,14557.3,14471.1
2003-08-01,2003,08,160.104673751763,161.88628,7,6.9,14564.6,14519.1
2003-09-01,2003,09,163.588263026172,165.2921,6.9,6.6,14569.7,14578.9
2003-10-01,2003,10,167.056451832729,168.40113,6.8,6.6,14594.8,14647.1
2003-11-01,2003,11,170.757041031924,171.11312,6.7,6.7,14583.6,14686.9
2003-12-01,2003,12,174.784575367523,173.98178000000001,6.6,6.3,14589,14741.4
2004-01-01,2004,01,178.773750208087,177.00621,6.6,7,14624.7,14437
2004-02-01,2004,02,182.914946627963,180.48967,6.5,6.8,14642.8,14535.4
2004-03-01,2004,03,188.786670353582,186.55191000000002,6.5,7,14665.2,14649.5
2004-04-01,2004,04,194.500281032808,193.21553,6.4,6.2,14683.2,14670.9
2004-05-01,2004,05,199.737762400893,199.5839,6.4,5.9,14712.4,14755.1
2004-06-01,2004,06,205.278668885694,206.38488,6.3,6.4,14729,14817.9
2004-07-01,2004,07,209.297249446449,211.07595,6.2,6.5,14774.5,14713.6
2004-08-01,2004,08,211.149159159594,213.49125,6.1,6,14775.7,14724.3
2004-09-01,2004,09,212.717824112076,215.08165,6,5.7,14778.1,14798.9
