,hotel_id,city,distance,stars,rating,country,city_actual,rating_reviewcount,center1label,center2label,neighbourhood,ratingta,ratingta_count,distance_alter,accommodation_type
0,1,Amsterdam,3.1,4.0,4.3,Netherlands,Amsterdam,1030.0,City centre,Montelbaanstoren,Amsterdam,4.0,1115.0,3.6,Hotel
1,2,Amsterdam,0.9,2.0,4.1,Netherlands,Amsterdam,372.0,City centre,Montelbaanstoren,Amsterdam,4.0,999.0,0.8,Hostel
2,3,Amsterdam,1.5,4.0,4.1,Netherlands,Amsterdam,165.0,City centre,Montelbaanstoren,Amsterdam,4.0,674.0,1.4,Hotel
3,4,Amsterdam,1.9,3.0,3.5,Netherlands,Amsterdam,298.0,City centre,Montelbaanstoren,Amsterdam,3.5,1882.0,2.1,Hotel
4,5,Amsterdam,1.8,3.5,4.0,Netherlands,Amsterdam,4.0,City centre,Montelbaanstoren,Amsterdam,4.5,66.0,2.0,Hotel
5,6,Amsterdam,1.9,4.0,4.1,Netherlands,Amsterdam,310.0,City centre,Montelbaanstoren,Amsterdam,4.0,767.0,2.0,Hotel
6,7,Amsterdam,0.8,3.5,4.4,Netherlands,Amsterdam,258.0,City centre,Montelbaanstoren,Amsterdam,4.5,273.0,1.2,Hotel
7,8,Amsterdam,0.9,4.0,4.8,Netherlands,Amsterdam,210.0,City centre,Montelbaanstoren,Amsterdam,4.5,298.0,0.8,Hotel
8,9,Amsterdam,1.0,4.0,4.4,Netherlands,Amsterdam,967.0,City centre,Montelbaanstoren,Amsterdam,4.5,6452.0,0.5,Hotel
9,10,Amsterdam,1.8,4.0,3.7,Netherlands,Amsterdam,6.0,City centre,Montelbaanstoren,Amsterdam,,,1.8,Apartment
10,11,Amsterdam,2.2,3.0,3.7,Netherlands,Amsterdam,341.0,City centre,Montelbaanstoren,Amsterdam,3.5,435.0,1.9,Hotel
11,12,Amsterdam,1.2,2.0,3.0,Netherlands,Amsterdam,80.0,City centre,Montelbaanstoren,Amsterdam,3.0,160.0,0.9,Hotel
