,hotel_id,date,city,accommodation_type,stars,rating,distance,price,lnprice
0,1,2017-NOV-weekend,Amsterdam,Hotel,4.0,4.3,3.1,172,5.147494476813453
2,1,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.3,3.1,122,4.804021044733257
5,1,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.3,3.1,114,4.736198448394496
9,3,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.1,1.5,118,4.770684624465665
10,3,2017-NOV-weekend,Amsterdam,Hotel,4.0,4.1,1.5,217,5.37989735354046
13,3,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.1,1.5,117,4.762173934797756
14,4,2017-DEC-holiday,Amsterdam,Hotel,3.0,3.5,1.9,115,4.74493212836325
15,4,2017-NOV-weekday,Amsterdam,Hotel,3.0,3.5,1.9,71,4.2626798770413155
18,5,2017-NOV-weekend,Amsterdam,Hotel,3.5,4.0,1.8,922,6.826545223556594
21,5,2017-NOV-weekday,Amsterdam,Hotel,3.5,4.0,1.8,690,6.536691597591305
24,5,2018-JUNE-weekend,Amsterdam,Hotel,3.5,4.0,1.8,696,6.54534966033442
25,5,2017-DEC-holiday,Amsterdam,Hotel,3.5,4.0,1.8,690,6.536691597591305
27,6,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.1,1.9,127,4.844187086458591
28,6,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.1,1.9,127,4.844187086458591
31,6,2017-NOV-weekend,Amsterdam,Hotel,4.0,4.1,1.9,186,5.225746673713202
34,7,2017-NOV-weekday,Amsterdam,Hotel,3.5,4.4,0.8,167,5.117993812416755
35,7,2017-DEC-holiday,Amsterdam,Hotel,3.5,4.4,0.8,177,5.176149732573829
38,8,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.8,0.9,207,5.332718793265369
41,9,2017-NOV-weekday,Amsterdam,Hotel,4.0,4.4,1.0,218,5.384495062789089
43,9,2018-JUNE-weekend,Amsterdam,Hotel,4.0,4.4,1.0,375,5.926926025970411
44,9,2017-DEC-holiday,Amsterdam,Hotel,4.0,4.4,1.0,197,5.2832037287379885
46,9,2017-NOV-weekend,Amsterdam,Hotel,4.0,4.4,1.0,328,5.793013608384144
48,10,2017-NOV-weekday,Amsterdam,Apartment,4.0,3.7,1.8,143,4.962844630259907
50,11,2017-NOV-weekday,Amsterdam,Hotel,3.0,3.7,2.2,97,4.574710978503383
